DEWP,TEMP,PRES,Iws,Is,Ir
-15,-8,1025,19,1.5,1.5
-16,-6,1025,15,1.5,1.5
-17,-4,1025.1,15,1.5,1.5
-18,-2,1025.1,14,1.5,1.5
-19,-3,1025.1,16,1.5,1.5
-20,-4,1025,18,1.5,1.5
-21,-5,1025,12,1.5,1.5
-22,-7,1025,12,1.5,1.5
-23,-3,1025,12,1.5,1.5
-24,-1,1025,17,1.5,1.5
-25,-9,1025,16,1.5,1.5
-26,-9,1025,14,1.5,1.5
11,26,1025,8,1,1
12,25,1025,8,1,1
13,22,1025,8,1,1
14,24,1025,6,1,1
15,22,1025,6,1,1
16,20,1025,3,1,1
17,29,1025,10,1,1
18,24,1025,7,1,1
19,24,1025,8,1,11
20,28,1025,7,1,1
23,22,1025,6,0.5,0.5
25,23,1025,6,0.5,0.5
28,24,1025,8,0.5,0.5
29,26,1025,8,0.5,0.5
27,25,1025,10,0.5,0.5
27,28,1025,10,0.5,0.5
24,30,1025,2,0.5,0.5
21,-12,1025,10,0.5,0.5
27,-10,1025,2,0.5,0.5
28,-8,1025,6,0.5,0.5
-7,-6,1025.1,4,0.01,0.01
-8,-6,1025.1,5,0.01,0.01
-9,-5,1025,4,0.01,0.01
-20,-2,1025,5,0.01,0.01
-10,0,1025,4,0.01,0.01
-4,-2,1025,3,0.01,0.01
-5,-2,1025,2,0.01,0.01
