Iws,TEMP,DEWP,Is,Ir,pm2.5
24.86,-5.125,-8.5,0.708333333,0,2
70.93791667,-8.541666667,-10.125,14.16666667,0,2
111.1608333,-11.5,-20.875,0,0,0
56.92,-14.45833333,-24.58333333,0,0,1
18.51166667,-12.54166667,-23.70833333,0,0,1
10.17,-12.5,-21.25,0,0,1
1.972916667,-11.70833333,-17.125,0,0,3
13.29875,-9.125,-16.33333333,0,0,2
17.41583333,-8.75,-15.95833333,0,0,1
41.68583333,-8.708333333,-20.70833333,0,0,0
60.37833333,-12.41666667,-23.54166667,0,0,0
169.7541667,-10,-21.95833333,0,0,1
13.23875,-9.5,-17.625,0,0,2
12.38166667,-7.041666667,-17.16666667,0,0,1
2.677916667,-8.416666667,-13.5,0,0,3
4.134583333,-7.25,-12.08333333,0,0,3
4.91625,-4.916666667,-9.666666667,0,0,3
4.788333333,0.291666667,-3.791666667,0,0,3
34.48125,-1.166666667,-11.04166667,0,0,2
59.07083333,-6.125,-21.16666667,0,0,0
93.06208333,-4.583333333,-18.79166667,0,0,0
44.5,-2.705882353,-18.05882353,0,0,0
2.644166667,-2,-14.41666667,0,0,3
24.70708333,1.125,-11.70833333,0,0,2
41.2725,-1.208333333,-19.125,0,0,0
44.32833333,0.625,-21.625,0,0,0
40.01583333,1.958333333,-18.70833333,0,0,1
62.51041667,1.333333333,-15.79166667,0,0,1
13.03791667,-2.875,-10.08333333,0,0,1
5.959583333,-5.416666667,-16.29166667,0,0,1
14.9175,-5.166666667,-19.95833333,0,0,2
5.60625,-5.041666667,-20.5,0,0,1
4.731666667,-4.083333333,-14.33333333,0,0,2
22.81875,-5,-10.45833333,0.666666667,0,2
5.770833333,-4.333333333,-6.5,1.708333333,0,2
3.257916667,-1.541666667,-5.25,0,0,3
3.295416667,0.041666667,-9.833333333,0,0,3
40.35833333,-1.583333333,-22.29166667,0,0,0
27.06041667,-3.666666667,-22.125,0,0,0
6.852916667,-5.208333333,-21.54166667,0,0,0
8.958333333,-4.583333333,-17.83333333,0,0,2
9.367826087,-4.173913043,-20.26086957,0,0,2
5.977083333,-5.541666667,-22.29166667,0,0,0
7.5025,-5.375,-16.95833333,0,0,2
43.6575,-2.291666667,-19.08333333,0,0,1
4.61625,-2.041666667,-19,0,0,2
3.7375,0.083333333,-15.58333333,0,0,2
3.64875,0.875,-10.29166667,0,0,3
14.58541667,4.208333333,-9.708333333,0,0,2
20.10125,0.083333333,-7.791666667,0,0,2
1.655416667,0.083333333,-6.541666667,0,0,3
9.555,4.375,-2.5,0,0,3
21.90333333,3.916666667,-1.333333333,0,0,3
35.40375,1.833333333,-6.791666667,0,0,1
18.31708333,-1.25,-6.375,0.458333333,0,2
14.67541667,-0.125,-7.125,0.875,0,2
42.0125,-2.541666667,-5.041666667,1.208333333,0,1
23.54875,1.625,-8.458333333,0,0,2
7.114583333,1.666666667,-6.208333333,0,0,3
7.937083333,2.416666667,-3.458333333,0,0.041666667,3
50.30583333,0.541666667,-20.33333333,0,0,0
31.55333333,-2,-17.33333333,0,0,1
11.64333333,-2.458333333,-10.25,0.041666667,0,2
14.1075,-3.333333333,-6.875,2.75,0,1
97.55083333,-3.375,-17.95833333,0,0,0
11.47041667,0.75,-13.70833333,0,0,1
4.4875,2.208333333,-7.791666667,0,0,3
26.33833333,5.541666667,-14.29166667,0,0,1
21.70791667,2.875,-9.75,0,0,1
10.34,0.25,-3.541666667,3.375,0.25,2
61.10291667,1.583333333,-9.75,0,0,1
4.0425,0.5,-10.79166667,0,0,1
16.01833333,3,-12.83333333,0,0,1
4.840833333,0.583333333,-3.291666667,0.041666667,0,3
3.031666667,4.375,1.791666667,0,0.25,3
89.96863636,6.954545455,-7.363636364,0,0,3
18.905,7.458333333,-8.041666667,0,0,1
37.03521739,8.695652174,-7.913043478,0,0,3
28.82625,7.625,-7.75,0,0,1
20.00041667,6.75,-6.541666667,0,0.25,1
13.76166667,4.375,-11,0,0,0
9.479583333,6.5,-10.75,0,0,1
16.48458333,5.875,-8.541666667,0,0,1
14.47458333,6.541666667,-7.166666667,0,0,1
11.34416667,7.541666667,-0.208333333,0,0.458333333,3
8.622857143,7.428571429,6.142857143,0,6.857142857,3
25.92222222,11.66666667,-5.222222222,0,0,2
123.1340909,8.409090909,-16.59090909,0,0,0
38.605,6.541666667,-15.25,0,0,0
21.94166667,7.916666667,-7.416666667,0,0,2
7.189583333,13.83333333,-4.791666667,0,0,2
10.46875,10.91666667,1.708333333,0,0.125,2
17.05916667,10.5,-12.29166667,0,0,0
26.17,11.91666667,-5.916666667,0,0,2
109.4975,14.58333333,0.875,0,0,2
19.20375,11.16666667,2.25,0,0,2
17.63708333,10.58333333,-8.416666667,0,0,1
49.27666667,6.25,0.25,0,0.875,1
60.05666667,7.083333333,-6.208333333,0,0.041666667,1
174.6608333,6.375,-16.70833333,0,0,0
8.605833333,7.166666667,-9.75,0,0,1
51.53916667,6.083333333,0.708333333,0,0,3
16.40458333,8.583333333,2.75,0,0,3
72.46875,8.583333333,3.375,0,0,2
3.204166667,13.54166667,6.458333333,0,0,3
16.44625,14.20833333,7.958333333,0,0.25,3
7.43125,13.875,4,0,0,2
14.71166667,12.04166667,2.208333333,0,0.5,1
13.33833333,9.458333333,5.333333333,0,5.125,1
10.78541667,13.20833333,-4.041666667,0,0,0
36.405,16.79166667,1.333333333,0,0,2
83.17208333,13.83333333,6.541666667,0,0.625,2
24.72041667,8.875,-5.458333333,0,0.041666667,0
138.9045833,8.708333333,-10.70833333,0,0,0
319.0270833,10.5,-9.583333333,0,0,0
