date,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir
2010/1/2,145.9583333,-8.5,-5.125,1024.75,24.86,0.708333333,0
2010/1/3,78.83333333,-10.125,-8.541666667,1022.791667,70.93791667,14.16666667,0
2010/1/4,31.33333333,-20.875,-11.5,1029.291667,111.1608333,0,0
2010/1/5,42.45833333,-24.58333333,-14.45833333,1033.625,56.92,0,0
2010/1/6,56.41666667,-23.70833333,-12.54166667,1033.75,18.51166667,0,0
2010/1/7,69,-21.25,-12.5,1034.083333,10.17,0,0
2010/1/8,176.2083333,-17.125,-11.70833333,1028,1.972916667,0,0
2010/1/9,88.5,-16.33333333,-9.125,1029.041667,13.29875,0,0
2010/1/10,57.25,-15.95833333,-8.75,1032.5,17.41583333,0,0
2010/1/11,20,-20.70833333,-8.708333333,1034.333333,41.68583333,0,0
2010/1/12,20.75,-23.54166667,-12.41666667,1030.708333,60.37833333,0,0
2010/1/13,40.20833333,-21.95833333,-10,1030.458333,169.7541667,0,0
2010/1/14,93.70833333,-17.625,-9.5,1025.208333,13.23875,0,0
2010/1/15,45.45833333,-17.16666667,-7.041666667,1036.833333,12.38166667,0,0
2010/1/16,177.625,-13.5,-8.416666667,1033.041667,2.677916667,0,0
2010/1/17,209.2083333,-12.08333333,-7.25,1028.833333,4.134583333,0,0
2010/1/18,260.2083333,-9.666666667,-4.916666667,1026.75,4.91625,0,0
2010/1/19,340.75,-3.791666667,0.291666667,1020.666667,4.788333333,0,0
2010/1/20,85.33333333,-11.04166667,-1.166666667,1030.208333,34.48125,0,0
2010/1/21,27.04166667,-21.16666667,-6.125,1036.375,59.07083333,0,0
2010/1/22,29.41666667,-18.79166667,-4.583333333,1034.375,93.06208333,0,0
2010/1/23,23.17647059,-18.05882353,-2.705882353,1029.764706,44.5,0,0
2010/1/26,195.5833333,-14.41666667,-2,1021.333333,2.644166667,0,0
2010/1/27,122.3333333,-11.70833333,1.125,1016.208333,24.70708333,0,0
2010/1/28,21.16666667,-19.125,-1.208333333,1026.166667,41.2725,0,0
2010/1/29,23.875,-21.625,0.625,1022.833333,44.32833333,0,0
2010/1/30,44.29166667,-18.70833333,1.958333333,1019.541667,40.01583333,0,0
2010/1/31,39.25,-15.79166667,1.333333333,1024.208333,62.51041667,0,0
