date,hour,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir
2010/1/2,0,2,-16,-4,1020,1.79,0,0
2010/1/2,1,2,-15,-4,1020,2.68,0,0
2010/1/2,2,3,-11,-5,1021,3.57,0,0
2010/1/2,3,3,-7,-5,1022,5.36,1,0
2010/1/2,4,2,-7,-5,1022,6.25,2,0
2010/1/2,5,2,-7,-6,1022,7.14,3,0
2010/1/2,6,2,-7,-6,1023,8.93,4,0
2010/1/2,7,2,-7,-5,1024,10.72,0,0
2010/1/2,8,2,-8,-6,1024,12.51,0,0
2010/1/2,9,2,-7,-5,1025,14.3,0,0
2010/1/2,10,2,-7,-5,1026,17.43,1,0
2010/1/2,11,3,-8,-5,1026,20.56,0,0
2010/1/2,12,2,-8,-5,1026,23.69,0,0
2010/1/2,13,3,-8,-5,1025,27.71,0,0
2010/1/2,14,3,-9,-5,1025,31.73,0,0
2010/1/2,15,3,-9,-5,1025,35.75,0,0
2010/1/2,16,3,-9,-5,1026,37.54,0,0
2010/1/2,17,3,-8,-5,1027,39.33,0,0
2010/1/2,18,3,-8,-5,1027,42.46,0,0
2010/1/2,19,2,-8,-5,1028,44.25,0,0
2010/1/2,20,3,-7,-5,1028,46.04,0,0
2010/1/2,21,3,-7,-5,1027,49.17,1,0
2010/1/2,22,3,-8,-6,1028,52.3,2,0
2010/1/2,23,2,-8,-6,1027,55.43,3,0
2010/1/3,0,2,-7,-6,1027,58.56,4,0
2010/1/3,1,1,-8,-6,1026,61.69,5,0
2010/1/3,2,1,-8,-7,1026,65.71,6,0
2010/1/3,3,1,-8,-7,1025,68.84,7,0
2010/1/3,4,1,-8,-7,1024,72.86,8,0
2010/1/3,5,2,-9,-8,1024,76.88,9,0
2010/1/3,6,2,-10,-8,1024,80.9,10,0
2010/1/3,7,2,-10,-9,1024,84.92,11,0
2010/1/3,8,2,-10,-9,1024,89.84,12,0
2010/1/3,9,2,-11,-9,1023,93.86,13,0
2010/1/3,10,2,-11,-9,1023,97.88,15,0
2010/1/3,11,2,-11,-9,1022,102.8,16,0
2010/1/3,12,2,-11,-9,1021,105.93,17,0
2010/1/3,13,2,-11,-9,1020,111.74,19,0
2010/1/3,14,2,-11,-9,1020,116.66,20,0
2010/1/3,15,2,-11,-9,1020,121.58,21,0
2010/1/3,16,2,-11,-9,1020,124.71,22,0
2010/1/3,17,1,-11,-9,1020,127.84,23,0
2010/1/3,18,1,-11,-9,1021,0.89,24,0
2010/1/3,19,1,-11,-9,1022,1.78,25,0
2010/1/3,20,1,-10,-9,1022,4.02,26,0
2010/1/3,21,1,-11,-10,1023,7.15,27,0
2010/1/3,22,2,-11,-9,1023,11.17,0,0
2010/1/3,23,1,-12,-11,1023,14.3,0,0
2010/1/4,0,2,-14,-12,1023,16.09,0,0
2010/1/4,1,1,-16,-9,1023,21.9,0,0
2010/1/4,2,0,-17,-10,1024,29.95,0,0
2010/1/4,3,0,-18,-11,1024,39.78,0,0
2010/1/4,4,0,-19,-11,1025,48.72,0,0
2010/1/4,5,0,-20,-12,1026,55.87,0,0
2010/1/4,6,0,-21,-12,1027,64.81,0,0
2010/1/4,7,0,-21,-13,1027,73.75,0,0
2010/1/4,8,0,-22,-13,1028,80.9,0,0
2010/1/4,9,0,-22,-13,1029,90.73,0,0
2010/1/4,10,0,-22,-12,1030,100.56,0,0
2010/1/4,11,0,-23,-12,1031,108.61,0,0
2010/1/4,12,0,-21,-11,1030,117.55,0,0
2010/1/4,13,0,-20,-10,1030,127.38,0,0
2010/1/4,14,0,-21,-10,1030,136.32,0,0
2010/1/4,15,0,-21,-9,1030,145.26,0,0
2010/1/4,16,0,-21,-9,1031,152.41,0,0
2010/1/4,17,0,-20,-11,1032,159.56,0,0
2010/1/4,18,0,-23,-11,1032,165.37,0,0
2010/1/4,19,0,-21,-12,1033,171.18,0,0
2010/1/4,20,0,-24,-12,1034,180.12,0,0
2010/1/4,21,0,-24,-13,1034,187.27,0,0
2010/1/4,22,0,-24,-13,1035,195.32,0,0
2010/1/4,23,0,-26,-15,1035,198.45,0,0
2010/1/5,0,0,-26,-17,1035,201.58,0,0
2010/1/5,1,0,-26,-18,1035,205.6,0,0
2010/1/5,2,0,-26,-19,1035,208.73,0,0
2010/1/5,3,0,-27,-18,1035,213.65,0,0
2010/1/5,4,0,-27,-19,1035,218.57,0,0
2010/1/5,5,0,-27,-16,1034,4.92,0,0
2010/1/5,6,0,-26,-16,1035,8.05,0,0
2010/1/5,7,0,-27,-16,1034,13.86,0,0
2010/1/5,8,0,-26,-16,1035,18.78,0,0
2010/1/5,9,0,-26,-15,1035,24.59,0,0
2010/1/5,10,1,-25,-14,1035,29.51,0,0
2010/1/5,11,0,-25,-13,1035,34.43,0,0
2010/1/5,12,0,-25,-12,1034,39.35,0,0
2010/1/5,13,1,-24,-11,1032,41.14,0,0
2010/1/5,14,1,-22,-11,1032,0.89,0,0
