date,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir
2010/1/2,181,-7,-4,1028,55.43,4,0
2010/1/3,129,-7,-4,1027,127.84,27,0
2010/1/4,129,-14,-4,1035,198.45,0,0
2010/1/5,129,-16,-4,1035,218.57,0,0
2010/1/6,132,-16,-4,1035,59,0,0
2010/1/7,198,-16,-4,1036,28.17,0,0
2010/1/8,275,-15,-4,1031,6.71,0,0
2010/1/9,196,-14,-4,1033,38.89,0,0
2010/1/10,129,-13,-4,1035,52.31,0,0
2010/1/11,129,-16,-4,1036,93.43,0,0
2010/1/12,129,-16,-4,1034,160.03,0,0
2010/1/13,129,-16,-4,1034,299.06,0,0
2010/1/14,257,-14,-3,1033,33.08,0,0
2010/1/15,129,-14,-2,1039,45.58,0,0
2010/1/16,271,-11,-3,1036,9.84,0,0
2010/1/17,317,-10,-1,1032,17.89,0,0
2010/1/18,435,-5,1,1028,16.99,0,0
2010/1/19,485,-2,2,1025,13.86,0,0
2010/1/20,389,-2,2,1038,78.24,0,0
2010/1/21,129,-16,-2,1039,160.9,0,0
2010/1/22,129,-16,-2,1037,168.06,0,0
2010/1/23,203,-13,3,1033,172.08,0,0
2010/1/26,340,-9,8,1021,47.4,0,0
2010/1/27,129,-12,4,1029,99.23,0,0
2010/1/28,129,-16,6,1028,105.04,0,0
2010/1/29,129,-15,7,1021,114.88,0,0
2010/1/30,129,-15,6,1026,145.69,0,0
2010/1/31,145,-7,1,1028,23.25,0,0
2010/2/1,129,-10,1,1029,42.92,0,0
2010/2/2,161,-16,2,1030,59,0,0
2010/2/3,129,-16,1,1028,63.02,0,0
2010/2/4,129,-12,-1,1031,15.65,0,0
2010/2/5,129,-10,-2,1033,33.52,1,0
2010/2/6,189,-6,-2,1029,48.73,10,0
2010/2/7,197,-4,5,1022,15.2,0,0
2010/2/8,273,-4,5,1025,8.04,0,0
2010/2/9,182,-6,2,1033,83.14,0,0
2010/2/10,129,-16,-1,1037,95.65,0,0
2010/2/11,129,-16,-1,1038,22.79,0,0
2010/2/12,129,-16,3,1032,24.15,0,0
2010/2/13,980,-13,0,1035,23.69,0,0
2010/2/14,129,-16,0,1038,18.78,0,0
2010/2/15,161,-12,3,1034,20.11,0,0
2010/2/16,247,-8,2,1029,139.03,0,0
2010/2/17,129,-16,6,1027,13.41,0,0
2010/2/18,296,-13,11,1021,14.75,0,0
2010/2/19,205,-8,9,1020,14.76,0,0
2010/2/20,282,-6,14,1020,51.86,0,0
2010/2/21,154,-3,5,1022,51.41,0,0
2010/2/22,218,-5,7,1020,4.92,0,0
2010/2/23,368,2,11,1020,37.1,0,0
2010/2/24,309,3,8,1020,45.6,0,0
2010/2/25,130,-2,5,1022,81.37,0,0
2010/2/26,138,-4,2,1022,54.95,4,0
2010/2/27,145,-3,4,1025,42.02,2,0
2010/2/28,161,-3,-1,1027,67.07,9,0
2010/3/1,169,-4,8,1023,82.27,0,0
2010/3/2,247,-5,6,1026,24.59,0,0
2010/3/3,261,-2,7,1020,22.36,0,1
2010/3/4,269,-2,3,1030,130.96,0,0
2010/3/5,129,-9,2,1036,82.7,0,0
2010/3/6,134,-9,1,1037,39.35,1,0
2010/3/7,129,-5,-1,1041,28.18,11,0
2010/3/8,129,-8,1,1042,175.21,0,0
2010/3/9,129,-11,9,1030,179.23,0,0
2010/3/10,224,-6,9,1020,35.76,0,0
2010/3/11,314,-6,10,1021,88.51,0,0
2010/3/12,129,-5,8,1029,47.81,0,0
2010/3/13,129,-1,4,1025,60.77,14,3
2010/3/14,220,-1,4,1025,129.18,0,0
2010/3/15,129,-9,7,1026,135.89,0,0
2010/3/16,129,-7,7,1029,58.56,0,0
2010/3/17,227,-2,4,1027,19.67,1,0
2010/3/18,250,3,7,1020,10.28,0,3
2010/3/19,700,3,10,1020,171.24,0,0
2010/3/20,129,-5,14,1020,185.1,0,0
2010/3/21,784,-2,14,1020,103.24,0,0
2010/3/22,129,-6,13,1024,110.39,0,0
2010/3/23,134,1,11,1027,89.83,0,3
2010/3/24,129,0,9,1030,51.85,0,0
2010/3/25,142,-6,15,1023,39.79,0,0
2010/3/26,134,-4,11,1028,39.33,0,0
2010/3/27,129,-5,16,1030,34.43,0,0
2010/3/28,366,6,12,1025,43.37,0,3
2010/3/29,297,7,16,1022,95.64,0,10
2010/4/1,129,-7,12,1023,213.21,0,0
2010/4/2,133,-7,12,1022,110.4,0,0
2010/4/3,206,1,16,1021,62.14,0,0
2010/4/4,199,2,22,1020,39.79,0,0
2010/4/5,186,4,16,1028,37.1,0,2
2010/4/6,129,-3,16,1028,62.13,0,0
2010/4/7,140,1,20,1024,123.37,0,0
2010/4/8,158,4,21,1020,170.31,0,0
2010/4/9,131,6,14,1021,50.07,0,0
2010/4/10,129,1,16,1021,89.39,0,3
2010/4/11,129,4,8,1020,104.14,0,6
2010/4/12,129,-2,11,1028,199.38,0,0
2010/4/13,129,-7,11,1030,288.34,0,0
2010/4/14,171,1,13,1030,79.57,0,0
2010/4/15,255,3,9,1022,98.8,0,0
2010/4/16,289,5,15,1024,75.54,0,0
2010/4/17,223,7,12,1025,109.97,0,0
2010/4/18,389,9,20,1020,12.52,0,2
2010/4/19,272,9,18,1020,38.44,0,3
2010/4/20,129,8,19,1023,19.67,0,2
2010/4/21,129,6,13,1024,50.95,0,11
2010/4/22,129,7,12,1023,42.92,0,15
2010/4/23,129,1,21,1023,37.56,0,0
2010/4/24,141,7,24,1020,115.79,0,0
2010/4/25,142,8,21,1020,159.14,0,5
2010/4/26,129,-1,13,1020,114.9,0,1
2010/4/27,129,-6,13,1020,273.59,0,0
2010/4/28,129,-4,15,1020,434.98,0,0
2010/4/29,129,-3,19,1020,206.09,0,0
2010/4/30,129,2,25,1020,266,0,0
2010/5/1,146,10,32,1020,73.3,0,0
2010/5/2,151,10,32,1020,43.81,0,0
2010/5/3,160,10,24,1020,18.33,0,1
2010/5/4,228,18,25,1020,71.97,0,6
2010/5/5,283,17,26,1020,153.77,0,0
2010/5/6,129,8,28,1020,97.87,0,0
2010/5/7,228,10,28,1020,90.29,0,0
2010/5/8,294,12,25,1020,48.73,0,2
2010/5/9,132,6,22,1020,100.15,0,0
2010/5/10,129,3,23,1020,186.4,0,0
2010/5/11,129,8,23,1020,22.36,0,0
2010/5/12,129,8,24,1020,42.92,0,0
2010/5/13,129,9,25,1020,41.57,0,0
2010/5/14,238,14,22,1020,25.94,0,4
2010/5/15,203,13,28,1020,51.85,0,0
2010/5/16,185,14,22,1020,103.72,0,8
2010/5/17,129,15,20,1020,39.78,0,6
2010/5/18,129,13,27,1020,59.9,0,1
2010/5/19,129,10,34,1020,62.13,0,0
2010/5/20,129,13,35,1020,57.22,0,0
2010/5/21,234,14,28,1020,29.51,0,0
2010/5/22,182,14,30,1020,29.05,0,0
2010/5/23,165,13,35,1020,27.71,0,1
2010/5/24,129,7,30,1020,72.87,0,0
2010/5/25,139,13,31,1020,18.33,0,0
2010/5/26,129,15,30,1020,64.38,0,2
