date,pm2.5,DEWP,TEMP,PRES,Iws,Is,Ir
2010/1/2,105,-16,-6,1020,1.79,0,0
2010/1/3,53,-16,-11,1020,0.89,0,0
2010/1/4,20,-26,-15,1020,1.79,0,0
2010/1/5,25,-27,-19,1020,0.89,0,0
2010/1/6,20,-26,-17,1020,0.89,0,0
2010/1/7,23,-25,-18,1020,0.45,0,0
2010/1/8,66,-21,-17,1020,0.45,0,0
2010/1/9,37,-19,-16,1020,0.45,0,0
2010/1/10,22,-19,-14,1020,0.89,0,0
2010/1/11,13,-23,-13,1020,0.89,0,0
2010/1/12,9,-26,-18,1020,0.89,0,0
2010/1/13,11,-25,-13,1020,0.45,0,0
2010/1/14,20,-21,-17,1020,0.89,0,0
2010/1/15,13,-20,-11,1020,0.89,0,0
2010/1/16,102,-16,-13,1020,0.89,0,0
2010/1/17,129,-16,-12,1020,0.45,0,0
2010/1/18,129,-16,-11,1020,0.89,0,0
2010/1/19,129,-16,-4,1018,0.45,0,0
2010/1/20,11,-19,-5,1020,1.79,0,0
2010/1/21,15,-25,-9,1020,0.89,0,0
2010/1/22,15,-21,-7,1020,1.79,0,0
2010/1/23,15,-20,-8,1020,0.89,0,0
2010/1/26,29,-16,-6,1012,0.89,0,0
2010/1/27,12,-25,-4,1018,1.79,0,0
2010/1/28,10,-25,-10,1020,0.89,0,0
2010/1/29,16,-23,-6,1017,0.89,0,0
2010/1/30,11,-21,-4,1019,0.89,0,0
2010/1/31,40,-16,-6,1020,0.89,0,0
2010/2/1,25,-22,-11,1020,0.89,0,0
2010/2/2,14,-25,-13,1020,0.89,0,0
2010/2/3,26,-23,-15,1020,0.45,0,0
2010/2/4,42,-22,-7,1020,0.89,0,0
2010/2/5,45,-16,-8,1020,0.89,0,0
2010/2/6,43,-16,-6,1020,0.89,0,0
2010/2/7,129,-16,-6,1017,0.89,0,0
2010/2/8,39,-18,-5,1020,0.89,0,0
2010/2/9,6,-26,-4,1020,0.89,0,0
2010/2/10,9,-24,-6,1020,1.79,0,0
2010/2/11,9,-23,-9,1020,1.79,0,0
2010/2/12,22,-21,-11,1020,0.89,0,0
2010/2/13,7,-24,-7,1020,0.89,0,0
2010/2/14,8,-26,-10,1020,0.89,0,0
2010/2/15,21,-21,-13,1020,0.45,0,0
2010/2/16,9,-27,-6,1020,0.89,0,0
2010/2/17,19,-21,-11,1020,0.45,0,0
2010/2/18,40,-20,-9,1014,0.89,0,0
2010/2/19,65,-16,-8,1010,0.89,0,0
2010/2/20,20,-16,-5,1011,0.45,0,0
2010/2/21,56,-16,-4,1015,0.89,0,0
