TEMP,DEWP,Is,Ir,Iws
-0.132850896,0.000624634,2.142686981,-0.193523709,-0.051682512
-0.158604491,0.02807787,46.23800404,-0.193523709,-0.059795193
-0.180903335,0.052042695,-0.178119178,-0.193523709,-0.113463692
-0.203202179,0.019725991,-0.178119178,-0.193523709,-0.131977244
-0.188755041,-0.003157704,-0.178119178,-0.193523709,-0.127608878
-0.188440973,-0.008127672,-0.178119178,-0.193523709,-0.115335849
-0.182473676,-0.013011496,-0.178119178,-0.193523709,-0.094742122
-0.163001446,-0.006263562,-0.178119178,-0.193523709,-0.090789791
-0.160174832,-0.003810602,-0.178119178,-0.193523709,-0.088917634
-0.159860764,0.010649471,-0.178119178,-0.193523709,-0.112631622
-0.187812836,0.021786467,-0.178119178,-0.193523709,-0.126776808
-0.169596879,0.08695262,-0.178119178,-0.193523709,-0.118872145
-0.16582806,-0.00629931,-0.178119178,-0.193523709,-0.097238332
-0.147298035,-0.00680996,-0.178119178,-0.193523709,-0.09495014
-0.157662286,-0.012591457,-0.178119178,-0.193523709,-0.076644605
-0.148868376,-0.011723575,-0.178119178,-0.193523709,-0.069572012
-0.131280555,-0.011257858,-0.178119178,-0.193523709,-0.057507001
-0.092022027,-0.01133407,-0.178119178,-0.193523709,-0.028176542
-0.103014415,0.006356978,-0.178119178,-0.193523709,-0.064371576
-0.140388534,0.021007459,-0.178119178,-0.193523709,-0.114919814
-0.128768009,0.041259455,-0.178119178,-0.193523709,-0.10306282
-0.114616465,0.012326152,-0.178119178,-0.193523709,-0.09940416
-0.109295779,-0.012611565,-0.178119178,-0.193523709,-0.081220989
-0.085740662,0.000533527,-0.178119178,-0.193523709,-0.067699855
-0.103328483,0.010403207,-0.178119178,-0.193523709,-0.104726959
-0.089509481,0.012223873,-0.178119178,-0.193523709,-0.117208006
-0.079459298,0.009654484,-0.178119178,-0.193523709,-0.102646785
-0.084170321,0.023056763,-0.178119178,-0.193523709,-0.088085564
-0.115891212,-0.006418966,-0.178119178,-0.193523709,-0.059587175
-0.135049374,-0.010636239,-0.178119178,-0.193523709,-0.090581773
-0.133164965,-0.00529911,-0.178119178,-0.193523709,-0.108887308
-0.13222276,-0.010846755,-0.178119178,-0.193523709,-0.111591535
-0.124999191,-0.011367832,-0.178119178,-0.193523709,-0.080804954
-0.131908692,-0.000591543,2.006168974,-0.193523709,-0.061459332
-0.1268836,-0.010748697,5.419119208,-0.193523709,-0.041697675
-0.105841029,-0.012245893,-0.178119178,-0.193523709,-0.035457152
-0.093906436,-0.012223551,-0.178119178,-0.193523709,-0.058339071
-0.106155097,0.009858546,-0.178119178,-0.193523709,-0.120536285
-0.121858508,0.001935643,-0.178119178,-0.193523709,-0.119704215
-0.133479033,-0.010103991,-0.178119178,-0.193523709,-0.116791971
-0.128768009,-0.008849583,-0.178119178,-0.193523709,-0.098278419
-0.125681948,-0.008605607,-0.178119178,-0.193523709,-0.110397696
-0.135991579,-0.010625813,-0.178119178,-0.193523709,-0.120536285
-0.134735306,-0.009716969,-0.178119178,-0.193523709,-0.093910052
-0.111494257,0.01182419,-0.178119178,-0.193523709,-0.104518942
-0.109609848,-0.011436598,-0.178119178,-0.193523709,-0.104102907
-0.093592368,-0.011960157,-0.178119178,-0.193523709,-0.087045477
-0.087625072,-0.012013034,-0.178119178,-0.193523709,-0.060627262
-0.062499614,-0.005496965,-0.178119178,-0.193523709,-0.057715018
-0.093592368,-0.00221063,-0.178119178,-0.193523709,-0.048146216
-0.093592368,-0.013200663,-0.178119178,-0.193523709,-0.041905693
-0.061243341,-0.008494089,-0.178119178,-0.193523709,-0.021728001
-0.064698091,-0.001136949,-0.178119178,-0.193523709,-0.015903513
-0.080401502,0.006906604,-0.178119178,-0.193523709,-0.043153797
-0.103642551,-0.003273637,1.323578925,-0.193523709,-0.041073623
-0.095162709,-0.005443343,2.68875902,-0.193523709,-0.044817937
-0.113378666,0.010844099,3.780903094,-0.193523709,-0.034417065
