DEWP,TEMP,PRES,Iws,Is,Ir,pm2.5
2.146203901,-0.170595507,0.134713055,0.019994001,-0.036373388,0.022519933,2
46.23672945,0.354056282,-0.237423562,0.069125794,0.044231255,-0.018625417,2
-0.173615708,-0.199861485,0.243254554,0.046289999,0.005770577,0.044918534,0
-0.17318677,-0.200744956,0.291903996,0.029891914,-0.014446841,0.019027567,1
-0.173291528,-0.200589718,0.281243334,0.018078581,-0.024359215,-0.00082878,1
-0.173303585,-0.200470449,0.277435121,0.00804564,-0.032506548,0.00193131,1
-0.173735172,-0.199503577,0.224250094,0.036899562,-0.055230975,0.013544831,3
-0.173815197,-0.199408128,0.218190669,0.020954426,-0.036012053,0.008926435,2
-0.173641162,-0.199741389,0.23855332,-0.005528887,-0.026862707,0.007523444,1
-0.173481575,-0.200237415,0.261889494,-0.003577618,-0.003013543,0.003537795,0
-0.173467555,-0.200234998,0.261395301,0.042354512,-0.010256604,0.017778276,0
-0.17360146,-0.199974719,0.248267924,0.041095169,0.038619871,0.06266231,1
-0.174000443,-0.199088563,0.197563138,0.053068794,-0.040996649,0.009050276,2
-0.173466646,-0.200193535,0.262126018,-0.038456037,-0.012564825,-0.005734054,1
-0.173653093,-0.199638804,0.234612084,-0.018714848,-0.041451949,0.01029516,3
-0.17396656,-0.199019693,0.198551358,0.004149087,-0.046892269,0.014383134,3
-0.17422785,-0.198505656,0.169004135,0.005543839,-0.047689864,0.016674359,3
-0.174899938,-0.197166191,0.092492255,0.017543812,-0.051660848,0.021813411,3
-0.174203559,-0.198736447,0.179121166,-0.023361142,-0.00427476,0.006509094,2
-0.173485763,-0.200341237,0.265372092,-0.023034816,0.017878646,0.001153229,0
-0.173698324,-0.199882797,0.240856443,-0.017159732,0.029807656,0.018397127,0
-0.17407239,-0.199213062,0.199278416,0.004743594,0.009862198,-0.00421466,0
-0.174631641,-0.198026872,0.131221034,0.049234612,-0.032464764,-0.004577641,3
-0.175110451,-0.197100311,0.078092587,0.071345296,-0.020552998,0.002565219,2
-0.174341247,-0.198793941,0.171312278,0.028949502,0.011366907,-0.010989355,0
-0.174594186,-0.198475213,0.147025025,0.054755537,0.019718571,-0.019686189,0
-0.174882139,-0.197851752,0.112699113,0.065989264,0.011609116,-0.015693432,1
-0.174613989,-0.198221756,0.140122601,0.027962368,0.019588149,0.000636983,1
-0.174330933,-0.198391496,0.161202945,0.002071461,-0.02573108,0.006036306,1
-0.174046092,-0.199101143,0.196553585,0.015076552,-0.024184845,-0.005860409,1
-0.174002913,-0.199341529,0.205390015,0.023729546,-0.012644939,-0.011748647,2
-0.174102825,-0.199176904,0.194594532,0.036465042,-0.016410169,-0.017274781,1
-0.174046832,-0.199071054,0.196297429,-0.005384081,-0.021537397,-0.005882785,2
2.010044953,-0.172967851,0.177879618,-0.016389385,-0.020874943,0.010851919,2
5.422087951,-0.131198426,0.084282069,0.026994966,-0.040709796,0.01184347,2
-0.174881032,-0.197187678,0.094366219,0.037704045,-0.050812757,0.018123418,3
-0.174646947,-0.197886154,0.127955028,0.013163306,-0.027496831,-0.00158131,3
-0.174013185,-0.199543128,0.211692301,0.00448056,0.023385084,-0.021220789,0
-0.173641792,-0.200179398,0.251452741,-0.025052451,0.016448298,-0.022742398,0
-0.17361966,-0.200145819,0.251217018,-0.018152649,-0.00056307,-0.024573934,0
-0.174040675,-0.19920555,0.199733867,0.013588378,-0.016479465,-0.010856011,2
-0.17380952,-0.199767688,0.229135256,-0.008837113,-0.00528399,-0.019346181,2
-0.173582429,-0.200236251,0.255745916,-0.016687105,-0.000795824,-0.025712406,0
-0.173929834,-0.199355257,0.210526884,0.003115386,-0.020600202,-0.007080747,2
-0.174280691,-0.198869397,0.176606616,0.031385186,0.005734346,-0.00496743,1
-0.1744455,-0.198567447,0.157567147,0.045620751,-0.013454686,-0.020614771,2
-0.17499425,-0.197448742,0.093729175,0.08057306,-0.024346759,-0.013746917,2
-0.175315539,-0.196644047,0.052374191,0.091404676,-0.040811078,0.001691763,3
-0.17545568,-0.19647048,0.040425663,0.077032135,-0.020765418,-0.004433314,2
-0.174969182,-0.197174817,0.089312892,0.046144519,-0.029344288,0.011414703,2
-0.175626456,-0.195860229,0.011929277,0.121618231,-0.059650248,0.01529583,3
-0.176060344,-0.195020407,-0.036687253,0.120683405,-0.057545299,0.021511145,3
-0.175400541,-0.196224467,0.038180089,0.038244545,-0.034234677,0.021163963,3
-0.174935545,-0.197260341,0.094772163,0.023164688,-0.013545,0.01312462,1
1.326664844,-0.179393452,0.085070512,0.039958434,-0.033450052,0.014918151,2
2.691812512,-0.163451169,0.089146437,0.018152151,-0.022667043,0.004604959,2
3.7839605,-0.150511424,0.089176187,0.018890801,-0.021834273,0.026355034,1
-0.174890738,-0.197410842,0.101091932,0.025348053,-0.016388919,0.004938066,2
-0.174821269,-0.197461759,0.106572561,0.005255927,-0.028041563,0.004847005,3
-0.175787394,-0.155850067,0.049196441,0.04832378,-0.04252258,0.014789977,3
-0.174367887,-0.198855732,0.171750027,0.022280326,0.025041181,-0.015560506,0
-0.17389437,-0.199558756,0.219829695,-0.028328294,0.010599627,-0.011335413,1
-0.037360948,-0.197693799,0.214449931,-0.059673493,-0.012429547,-0.000341902,2
8.835575712,-0.092402036,0.162360123,-0.093271544,0.001244775,-0.005039422,1
-0.173710818,-0.199868749,0.240308829,-0.029734916,0.03685508,0.017821843,0
-0.174778338,-0.197811167,0.117988523,0.040165632,-0.012509972,-0.012148942,1
-0.175598852,-0.196044235,0.019141879,0.10427762,-0.044681389,0.00590004,3
-0.175235289,-0.197128016,0.072433375,0.057560489,0.008315451,-0.020002869,1
-0.174642415,-0.197990397,0.132732097,-0.012005152,-0.000365531,-0.006796139,1
