DEWP,TEMP,Iws,Is,Ir
2.146202228,-0.170591007,0.020292206,-0.034050398,0.025836411
46.23673129,0.35404524,0.068706153,0.041459489,-0.021847977
-0.17361328,-0.199868558,0.046129701,0.006001451,0.047671224
-0.173184746,-0.200750864,0.029820343,-0.016206052,0.023458601
-0.17329001,-0.200594162,0.018066491,-0.027171185,0.00393823
-0.173302523,-0.200473573,0.008102628,-0.034960589,0.007376691
-0.173737997,-0.199495462,0.037366208,-0.052369817,0.017594449
-0.173814842,-0.199409206,0.021086464,-0.037142923,0.014137599
-0.173639674,-0.199745743,-0.005526767,-0.029478489,0.012953565
-0.173478736,-0.200245676,-0.00377859,-0.006690328,0.007249197
-0.173464744,-0.20024318,0.042203188,-0.012905832,0.022493152
-0.173599354,-0.199980866,0.040846385,0.041710283,0.06109417
-0.174000278,-0.199089094,0.053239085,-0.041790152,0.014533738
-0.173464731,-0.200199128,-0.038559271,-0.016263646,-0.001847349
-0.17365597,-0.199630541,-0.018308533,-0.038645825,0.012685603
-0.173970582,-0.199008119,0.004672796,-0.042310729,0.01613999
-0.174233721,-0.198488736,0.006218264,-0.040474957,0.016428177
-0.174908729,-0.197140827,0.018468209,-0.040241125,0.018764599
-0.17420309,-0.198737859,-0.023373272,-0.004820102,0.007843673
-0.173483179,-0.200348763,-0.023302351,0.015105359,0.001828351
-0.173695827,-0.199890074,-0.017452496,0.028741915,0.017766668
-0.174069667,-0.199220991,0.004492489,0.00643609,-0.00254928
-0.174635169,-0.198016726,0.049648838,-0.028753907,-0.004834713
-0.175111323,-0.19709784,0.071508738,-0.019388318,0.003915617
-0.174338451,-0.19880208,0.028682815,0.007690438,-0.009722626
-0.174591487,-0.198483068,0.054458637,0.016213483,-0.019991385
-0.174880181,-0.197857466,0.065786468,0.009100464,-0.015734584
-0.174611848,-0.198227999,0.027724003,0.017833211,0.000335388
-0.174329719,-0.198395056,0.002086895,-0.028006269,0.010965403
-0.174044908,-0.199104619,0.015081365,-0.026933697,-0.001554379
-0.174002161,-0.199343759,0.023719747,-0.014590798,-0.009688424
-0.174101382,-0.199181128,0.036411662,-0.01969029,-0.014097392
-0.174046114,-0.199073185,-0.005355669,-0.023726947,-0.002358296
