Iws,TEMP,DEWP,Is,Ir,pm2.5
3.690383683,-18.875838,-7.007516887,-0.45542835,0.382356681,2
49.71414359,-15.50238815,-10.22841521,-1.128933151,13.73229835,2
91.1014778,-19.55475522,-6.352040101,-0.355776304,-0.336622565,0
38.18011749,-32.26217515,-4.806961205,-0.170773889,-0.303809679,1
-0.04781257,-36.0604221,-2.853459033,-0.037200816,-0.240753544,1
-8.61987618,-35.39998999,-4.158725029,-0.121559134,-0.276263547,1
-17.32254597,-32.97732586,-5.950424626,-0.249923565,-0.322181049,3
-6.419194062,-29.06557497,-4.772788453,-0.213272058,-0.27975819,2
-2.425590737,-27.93469884,-4.833824741,-0.225571206,-0.280093179,1
22.18802191,-27.92845491,-2.437725817,-0.078557219,-0.214776831,0
41.31242712,-29.66655667,-3.992469904,-0.145987403,-0.273275848,0
149.0609901,-10.76687118,-6.090627136,-0.399376106,-0.325640791,1
-6.281695938,-30.29295473,-4.238629182,-0.171321045,-0.26653089,2
-7.370055739,-28.51423573,-2.616675051,-0.094025548,-0.211887388,1
-17.3427461,-28.03489806,-5.74232475,-0.282397934,-0.303242474,3
-16.17408897,-26.00464311,-5.784912413,-0.302721291,-0.299785228,3
-15.88965204,-22.57564117,-5.547799272,-0.319789886,-0.283900169,3
-17.16915922,-14.83338224,-5.273478819,-0.37408425,-0.255401743,3
13.24372007,-16.87445385,-2.58816436,-0.189894639,-0.188344948,2
39.24549276,-24.07043909,-0.629129909,-0.002809566,-0.155185671,0
72.42615725,-16.2660463,-1.869924484,-0.13305113,-0.184519618,0
24.18128167,-21.69787222,0.417628349,0.030995986,-0.11201735,0
-17.72837797,-24.67117909,-0.225355291,0.005866422,-0.125303211,3
3.499176425,-17.3736853,-0.138902373,-0.047353904,-0.111211282,2
21.01986237,-22.03594274,2.333644742,0.143601375,-0.053033135,0
24.23354653,-22.32150519,5.249566657,0.315735856,0.034635295,0
19.48977227,-19.89920861,4.537464001,0.251129188,0.02051944,1
41.39284883,-14.75526636,1.596656202,0.042667037,-0.063963413,1
-7.955915036,-20.39828739,-3.93230347,-0.243279873,-0.231454581,1
-13.95346577,-27.76952001,-1.75013565,-0.052992173,-0.181212066,1
-4.635325109,-29.07176735,0.530663925,0.093755771,-0.117649174,2
-13.77908867,-30.78019931,1.22214115,0.145857027,-0.097718005,1
-15.5221375,-25.61911115,-1.936406238,-0.083660173,-0.180944497,2
1.919642862,-20.58549301,-5.610631452,-0.358508892,0.379808695,2
